	delta	beta	gamma	alpha	acinar	ductal	unclassified endocrine	co-expression	MHC class II	PSC	endothelial	epsilon	mast	unclassified
Sub76	0.0419245430317074	0.527732584470952	0.0047215154386413	0.0947416326873499	0.0573616591597418	0.0785490826421343	0.0018250604902286	0.0004609786643551	1.16244765607179e-06	0.113434912960542	0.0500433744690049	0.0187928988550049	0.0001208806981705	0.010289713984511
Sub77	0.0060683101312036	0.257042634884293	0.0013213897959443	0.34369661328184	0.0934696189306402	0.0196828982625584	2.17364629754453e-06	0.0014609126347376	1.17479583932043e-06	0.147988189048456	0.091908069954917	0.0107832142926955	0.0003224233897659	0.0262523769508116
Sub78	0.0175509188216615	0.396971363640669	0.0023179620334497	0.104140403972696	0.0165654848980514	0.0504430255024195	0.0004446804997588	1.28690417454439e-05	2.26248893024285e-05	0.349820910498082	0.0491380393431834	0.0109804895038104	0.0007289906077005	0.0008622367474698
Sub79	0.0052624234269963	0.30576645189187	0.0002243426397234	0.231440844542148	0.141034568017701	0.0038571913798202	2.70453769427422e-06	1.01501419066192e-05	1.72316091546658e-06	0.231087483961271	0.0496132258874565	0.0163054106144446	0.0004293169442507	0.0149641628538024
Sub80	0.0025915013671982	0.156214563117687	4.21824970027129e-05	0.304849979788568	0.226024138157481	0.0027950337844822	2.90761505287977e-06	6.74675327688037e-06	8.1468573843059e-07	0.18630552221742	0.0656921695768705	0.0249513636690481	0.0005020332104435	0.03002104355973
Sub81	0.0121556597357094	0.496712086774966	0.0008964959196327	0.151651273132002	0.0313612257967064	0.0304266142309791	1.39875960709157e-06	5.0565944541188e-06	9.46925448452874e-07	0.181873771594839	0.0455590629825105	0.0213805632044598	0.0001186132844871	0.0278572310641972
Sub82	0.0059908398702043	0.0722662816077786	0.0061603660461843	0.284117201879218	0.231163848579515	0.0072799759303228	0.0637862481809955	2.23520973334845e-06	8.50273238194157e-07	0.218134495083135	0.110461388990727	2.09377719680074e-06	0.0006336110356218	5.63536128916404e-07
Sub83	0.0015384557789787	0.183788377128849	1.28582258669467e-06	0.388612264839689	0.207196536467536	0.0040256980058602	3.94380799758013e-06	0.0001368324965433	0.0007520120610316	0.102038269945452	0.0493761428644423	0.0158777827114068	0.0007568810328962	0.0458955170367306
Sub84	0.0034566341775899	0.272103104821469	0.0012741201287943	0.205683237393599	0.0604956500181269	0.0136838411954857	5.30973256890535e-06	8.41812189282868e-06	1.14730987069955e-06	0.247684093252779	0.146892913261453	0.0274529780122846	0.0005091877896262	0.0207493647844591
Sub85	0.006897332729757	0.406603461844277	0.00150326595984	0.307250423966045	0.0593514101449723	0.0137993291706141	2.55075935705139e-06	1.79180447219057e-05	4.26284379244428e-06	0.142315219061852	0.04644160295655	0.0096292913889107	5.88166692578379e-05	0.0061251144600528
Sub86	0.0083257756026058	0.411030065848003	0.0001448930410633	0.163158092773886	0.109035155476802	0.0126951220334303	3.06551048857364e-06	1.20040495097533e-05	1.70811858570216e-06	0.210423278552386	0.0447130833321195	0.0203470810194808	0.0002706062731049	0.0198400683685338
Sub87	0.0053624795729094	0.267868666140958	0.0092439823233266	0.309643832366796	0.0633552332421948	0.0003521507125374	0.0052117745300188	0.0119608978559926	0.0424287601709781	0.172508346347914	0.100840791332798	0.001569520591304	0.000595892174747	0.0090576726375251
Sub88	0.0252018967392714	0.673969622092275	0.0230958240090422	0.0376721873297606	0.0101072911154821	0.0345241169417021	3.07348669156012e-06	1.18139711018845e-05	6.81962868335479e-06	0.129258124473671	0.0387194486975674	0.0195820025492587	0.0001563027032719	0.0076914762622208
Sub89	0.0186462307116549	0.611242500586874	0.0052232120968053	0.0809816312656837	0.017565154969985	0.0514130430343256	3.21919817561238e-06	0.0008971973995205	0.008450153159109	0.124783613351782	0.0596749923445392	0.0090258682663358	0.0001672692406327	0.0119259143745774
