	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
20800682	0.41645733	0.03629754	0.14456742	0.14432435	0.04075163	0.0	0.096676156	0.12092566
20821943	0.462594	0.037622746	0.14864123	0.16842861	0.0	0.007875359	0.08282825	0.09200971
20834164	0.42722708	0.04454518	0.14744158	0.20013323	0.0	0.024996415	0.08034543	0.075311095
20865035	0.43926683	0.028744522	0.13795187	0.1809952	0.0	0.019736525	0.09442093	0.098884165
20898476	0.4612844	0.031687967	0.14730313	0.19695932	0.0	0.019465383	0.07324491	0.07005483
20904509	0.45981035	0.054433797	0.16045901	0.18306759	0.0	0.011445258	0.06830009	0.0624839
20906079	0.49378842	0.00430789	0.1235209	0.1940373	0.0	0.034018084	0.06716555	0.08316176
20906493	0.4798405	0.022326265	0.14231569	0.1549085	0.0155870905	0.014504232	0.07677099	0.093746684
20907246	0.4612824	0.04341694	0.15923949	0.17353743	0.0016735188	0.011177072	0.07774139	0.071931675
20914669	0.4110001	0.0662715	0.16335848	0.20224483	0.0	0.016456848	0.07662483	0.064043395
20922259	0.49540472	0.03371555	0.15296902	0.169683	0.0	0.00921545	0.06746241	0.0715499
20925996	0.4664637	0.014085011	0.13300471	0.19381468	0.0	0.026632795	0.07957951	0.0864196
20933324	0.47112447	0.03913568	0.14983481	0.18065897	0.0	0.018595966	0.065518804	0.075131305
20939708	0.3915538	0.078575596	0.17750591	0.21964929	0.0	0.0	0.073616795	0.05909859
20942767	0.48549283	0.038569048	0.15798382	0.1580805	0.0032711155	0.008404719	0.07288145	0.07531654
20944237	0.48711902	0.04837507	0.16681738	0.17561309	0.0	0.0	0.060295936	0.061779466
20945666	0.44559193	0.03350745	0.14615113	0.19863814	0.0	0.0179342	0.07290078	0.08527637
20946257	0.47522897	0.016161716	0.1458557	0.19194527	0.0	0.016819352	0.08434414	0.06964478
20946545	0.44435325	0.070819415	0.161835	0.1599734	0.0	0.006643943	0.07541985	0.08095517
20956605	0.4668512	0.037773047	0.16008434	0.19254673	0.0	0.0069831857	0.06934321	0.06641835
20956867	0.47129336	0.055434436	0.16607408	0.1306034	0.003354773	0.0	0.08937411	0.08386588
20963578	0.4497355	0.028154913	0.14603825	0.19291988	0.0	0.0056109736	0.077871054	0.09966945
20966477	0.4028985	0.055359047	0.153057	0.21644138	0.0	0.022367677	0.07693413	0.07294226
20969088	0.4335208	0.058946706	0.15026517	0.16977178	0.0	0.019007513	0.07683649	0.091651514
20970441	0.45330608	0.04546047	0.15594143	0.18987371	0.0	0.008719274	0.06861474	0.07808433
20974481	0.46718538	0.062402572	0.17303826	0.16376726	0.0	0.0	0.0682239	0.06538266
20977678	0.45127183	0.023192428	0.13263889	0.18701504	0.0	0.027193373	0.08153266	0.09715583
20983400	0.42457855	0.04977859	0.15258662	0.19345595	0.0	0.02430737	0.07915563	0.07613726
20989910	0.42712253	0.09634255	0.17665647	0.17202441	0.0	0.0061135553	0.066344745	0.05539567
20993308	0.4624776	0.037253376	0.14651047	0.18643187	0.0	0.022929689	0.07285955	0.07153755
