	Inhibitory	Excitatory	Oligodendrocyte	Astrocyte	OPC	Microglia	Endothelial	VLMC	Pericyte
20416210	0.0511392069139113	0.306916668495318	0.150634666801584	0.249818214611761	0.0001614348157911	0.0485201515085759	0.024271219185752	0.0002220153036478	0.168316422363659
20431359	0.0001219098723373	0.242327577126074	0.193622977279019	0.30035151746892	0.0125080742994148	0.0363548446023511	0.0355880288458372	0.0003497180474785	0.178775352458568
20453625	0.0837380868052832	0.367961712411287	0.184184653635379	0.157861851460435	8.45305567242806e-05	0.0345252649009969	0.011323149299397	8.64072677523642e-05	0.160234343662745
20455807	0.005172384136515	0.261841977474608	0.195801823785894	0.297484936880234	6.87537581704719e-05	0.0609532098275728	0.0211876765223167	0.0006707173305405	0.156818520284148
20487369	0.0652071720137309	0.365827366188291	0.131246209876845	0.198408275545947	0.0001225116881843	0.0490010274059353	0.0169718144867162	0.0006679008339009	0.172547721960448
20494368	0.0266921037539083	0.297775198516084	0.150378982458672	0.258295877181658	0.0006570531356815	0.0601932315571977	0.0209399156185055	5.2552686872214e-05	0.185015085091421
20500815	0.13564072538014	0.398535556222906	0.0916353797938916	0.128453148635417	8.18653882922076e-05	0.0435089158033272	0.042773054983808	0.0002974249760955	0.159073928816122
20501668	0.0508921042794127	0.322879051016571	0.147384618504638	0.222688102963096	0.0007119865339304	0.0551009374805104	0.0242449007096923	0.0001906661287243	0.175907632383425
20504017	0.0470942981417012	0.335283236197363	0.165824624457126	0.219354053722026	0.0045202861067966	0.0410668498004423	0.0195653720592996	0.0004451685367157	0.16684611097853
20521752	0.0495343771288207	0.325118029413942	0.139889486449909	0.25433576677473	0.0005967850686688	0.0502596135048151	0.0140039985487617	0.0002145415547912	0.166047401555562
20532115	0.0250495987450168	0.344224520753716	0.170724314593945	0.197042084631439	0.0062953143851652	0.0495811757074369	0.0213287565236056	0.0005638254519404	0.185190409207734
20559562	0.0279018192625834	0.306602729227593	0.169425958753891	0.249861039837588	0.0001514374844511	0.0487653879341791	0.0189358058074115	8.73185970975752e-05	0.178268503095206
20561642	0.0027087882829417	0.246654647217026	0.250891608014448	0.213120822644946	0.0001028738347392	0.0668994971500347	0.0255419751582762	0.0005059291902461	0.193573858507341
20569910	0.0616318613036954	0.298360421087201	0.155857864201193	0.213916100390366	0.0013800533299909	0.0646550179092084	0.0397932848378755	0.0002104961645676	0.164194900775902
