	CD4Tcells	Monocytes	Bcells	CD8Tcells	NK	Unknown
T31_GARD_BATCH_2	0.0	0.0311722504309611	0.0	0.0	0.871399270973341	0.0974284785956983
T113_LPS_FC5	0.0	0.008267355298243	0.0012643545510988	0.0	0.980715699824335	0.0097525903263229
K53_CTL_FC5	0.0	0.172431224244924	0.0269288618279033	0.0	0.759746168683795	0.0408937452433771
K33_GARD_BATCH_2	0.0	0.0	0.0014386009246117	0.0	0.896929583129524	0.101631815945865
K17_GARD_BATCH_2	0.0	0.0	0.0019007721689253	0.0	0.95680448927324	0.0412947385578347
K27_LPS_FC1_4	0.0	0.0	0.0015563423948841	0.0	0.913454585382245	0.0849890722228713
K46_GARD_BATCH_2	0.0	0.0024579471719155	0.0168404984252684	0.0	0.888740270378902	0.0919612840239139
T102_CTL_FC1_4	0.0080574029295192	0.0304127468818503	0.05594057436125	0.0	0.860274523300372	0.0453147525270084
T12_LPS_FC1_4	0.0	0.0	0.0	0.0	0.94859253411171	0.0514074658882899
T75_GARD_BATCH_2	0.0	0.0415236947052512	0.0036179664640518	0.0	0.890895325115926	0.0639630137147713
T12_GARD_BATCH_2	0.0	0.045208867984816	0.0124058589842592	0.0	0.863063541055139	0.0793217319757856
K26_LPS_FC1_4	0.0	0.0	0.00033391073105	0.0	0.94021145531337	0.0594546339555797
T6_LPS_FC5	0.0	0.0	0.0022207346857219	0.0	0.993390222356496	0.0043890429577817
T64_CTL_FC1_4	0.0	0.0301112311121741	0.0091079751863064	0.0	0.93372882755336	0.0270519661481598
K38_CTL_BATCH_2	0.0	0.0377406561079914	0.0	0.0	0.911434705394783	0.0508246384972258
T110_GARD_BATCH_2	0.0	0.0	0.0308331894170741	0.0	0.865413748906388	0.103753061676537
K9_GARD_BATCH_2	0.0	0.0539072291334177	0.0	0.0	0.930276599018672	0.01581617184791
T79_CTL_FC1_4	0.0	0.0	0.0	0.0	0.960275849094331	0.0397241509056692
K8_GARD_BATCH_2	0.0	0.0	0.0004575227392662	0.0	0.93810121240439	0.0614412648563436
T84_GARD_BATCH_2	0.0	0.0239515003390076	0.0	0.0	0.957767241381822	0.0182812582791707
K19_LPS_FC1_4	0.0181279282276861	0.0	0.0986512072019167	0.0	0.837564880222754	0.0456559843476432
K50_LPS_FC5	0.133148713322814	0.0212389044147384	0.0306910073973731	0.0	0.746260451197716	0.0686609236673581
T27_LPS_FC1_4	0.0	0.0	0.0	0.0	0.983484842347019	0.016515157652981
T115_GARD_BATCH_2	0.0	0.0072505706506813	0.0	0.0	0.975517224246125	0.0172322051031941
K29_LPS_FC1_4	0.0	0.0	0.0	0.0	0.914838030818705	0.0851619691812951
T40_GARD_BATCH_2	0.0	0.115934825389402	0.0	0.0	0.836792476978823	0.0472726976317746
K30_CTL_BATCH_2	0.0	0.0020750634828317	0.0506299318660024	0.0	0.843258549506698	0.104036455144468
K46_CTL_FC1_4	0.0	0.0054553750273847	0.0	0.0	0.913479318206736	0.0810653067658788
T9_CTL_FC1_4	0.0	0.0277537170254765	0.0	0.0	0.952883945679869	0.0193623372946545
T76_LPS_FC1_4	0.0	0.0	0.0	0.0	0.970024892883701	0.0299751071162988
T77_LPS_FC1_4	0.0	0.0	0.0	0.0	0.999237958673673	0.0007620413263268
K32_GARD_BATCH_2	0.0	4.52969259146185e-05	0.0	0.0	0.906984649567017	0.0929700535070684
K38_CTL_FC1_4	0.0	0.06668140288265	0.0	0.0	0.869813438686529	0.0635051584308211
K26_CTL_FC1_4	0.0	0.0166588996068552	0.0013228769938999	0.0	0.900427151007285	0.0815910723919601
T14_CTL_FC1_4	0.0	0.0	0.0	0.0	0.931845908594572	0.0681540914054278
T28_CTL_BATCH_2	0.0	0.0594107490056554	0.0	0.0	0.906719494569198	0.0338697564251466
T10_LPS_FC1_4	0.0	0.0	0.0	0.0	0.937799151682917	0.0622008483170826
T8_CTL_FC1_4	0.0	0.0370025747006546	0.0	0.0	0.907201275225113	0.0557961500742322
K51_GARD_BATCH_2	0.0	0.0477174233006778	0.0	0.0	0.862952948762552	0.0893296279367701
T46_LPS_FC1_4	0.0	0.0	0.0	0.0	0.944040823041021	0.0559591769589793
K51_LPS_FC1_4	0.0	0.0	0.0030916839909583	0.0	0.953394165429011	0.0435141505800305
T72_CTL_FC1_4	0.0	0.069666871231331	0.0021999482433407	0.0	0.866385562027993	0.0617476184973352
K6_LPS_FC5	0.0	0.0850098680588938	0.0035519665394115	0.0	0.888434290119161	0.0230038752825333
T50_LPS_FC5	0.0	0.0092591031614298	0.0	0.0	0.961139456902487	0.0296014399360829
T81_GARD_BATCH_2	0.0	0.0	0.0	0.0	0.937243590273149	0.0627564097268506
T5_LPS_FC5	0.0	0.0	4.63543044883075e-05	0.0016580674845028	0.975098924626608	0.0231966535844012
T101_CTL_FC5	0.0	0.0078715321477493	0.0	0.0	0.992128467852251	0.0
K7_CTL_FC5	0.0	0.19787095804652	0.0	0.0	0.770330770439474	0.0317982715140063
T119_GARD_BATCH_2	0.0	0.0	0.0008128817877827	0.0	0.933536397932421	0.065650720279796
K46_LPS_FC1_4	0.0	0.0	0.0007987614076579	0.0	0.91820089359641	0.081000344995932
K15_CTL_FC1_4	0.0	0.0	0.0	0.0	0.924673445596093	0.0753265544039071
T6_GARD_BATCH_2	0.0	0.0	0.0	0.0	0.955368101908365	0.0446318980916347
K15_LPS_FC5	0.0	0.0	0.0037886134444507	0.0	0.911318134642724	0.0848932519128256
T15_LPS_FC1_4	0.0	0.0	0.0	0.0	0.934171607509784	0.065828392490216
T27_GARD_BATCH_2	0.0	0.0130161959465742	0.0	0.0	0.969927498507831	0.0170563055455947
T112_LPS_FC1_4	0.0	0.0362470462504812	0.0	0.0	0.928917676474649	0.0348352772748696
K49_LPS_FC1_4	0.0	0.0037438501674309	0.0	0.0	0.955059491308637	0.041196658523932
K30_CTL_FC1_4	0.0	0.0269741535884169	0.0126633984945405	0.0	0.847838430821189	0.112524017095854
T47_LPS_FC1_4	0.0	0.030631175870643	0.0	0.0	0.969368824129357	0.0
T6_CTL_FC5	0.0	0.0	0.0	0.0	0.993626510315356	0.0063734896846439
K51_CTL_FC1_4	0.0	0.0043626737889176	0.0	0.0	0.915849363332916	0.0797879628781669
T75_CTL_FC1_4	0.0	0.0862777002261312	0.0	0.0	0.859513264952685	0.0542090348211837
K32_CTL_FC1_4	0.0	0.0	0.0	0.0	0.927806043221086	0.0721939567789139
K22_LPS_FC1_4	0.0	0.0064231043892137	0.0002923393983228	0.0	0.944572193656353	0.0487123625561106
K27_GARD_BATCH_2	0.0	0.0253018992232428	0.0	0.0	0.882830084903781	0.091868015872976
T117_CTL_FC1_4	0.0	0.0262533473904305	0.0	0.0	0.972176088954005	0.0015705636555641
T71_GARD_BATCH_2	0.0	0.0635124966360915	0.0	0.0	0.931217598371965	0.0052699049919431
T3_CTL_FC1_4	0.0	0.0	0.0	0.0	0.966559732253639	0.033440267746361
T70_CTL_FC5	0.0	0.0877180619926216	7.89250049353354e-05	0.0	0.896642308484729	0.0155607045177138
T35_LPS_FC1_4	0.0	0.0	0.0	0.0	0.934422102300044	0.0655778976999561
T18_LPS_FC1_4	0.0	0.0	0.0	0.0027725889107918	0.935904496140343	0.0613229149488651
K31_GARD_BATCH_2	0.0	0.0	0.0	0.0	0.970744312794395	0.0292556872056054
K8_CTL_FC1_4	0.0	0.0	0.0428252465516015	0.0	0.898238039354002	0.0589367140943965
K47_CTL_FC1_4	0.0	0.0920176026019601	0.0	0.0020235139559199	0.885063786169006	0.0208950972731142
K14_CTL_FC1_4	0.0	0.0	0.0094900395567981	0.0	0.923175102841708	0.0673348576014935
T120_CTL_FC1_4	0.0	0.0	0.0123579705665633	0.0	0.959874407620701	0.0277676218127356
T112_CTL_FC1_4	0.0	0.12032260822076	0.0	0.0	0.84661058770907	0.03306680407017
T79_LPS_FC5	0.0	0.0	0.0	0.0	0.978452147905277	0.0215478520947225
T112_GARD_BATCH_2	0.0	0.132404755289132	0.0	0.0	0.850766026509698	0.0168292182011698
T101_LPS_FC1_4	0.0	0.0019590422680189	0.0	0.0	0.998040957731981	0.0
T46_GARD_BATCH_2	0.0	0.0	0.0	0.0	0.951463906646734	0.0485360933532662
T69_LPS_FC5	0.0	0.0	0.0	0.0	0.998070227458096	0.001929772541904
T70_LPS_FC1_4	0.0	0.0	0.0	0.0	0.956326493176467	0.0436735068235326
K10_GARD_BATCH_2	0.0	0.0	0.0040898504942632	0.0	0.995910149505737	0.0
K37_CTL_FC1_4	0.0	0.120996306216475	0.0036004746423091	0.0	0.775024291450843	0.100378927690373
T5_CTL_FC5	0.0	0.0	0.0019444072029785	0.0	0.958224471854086	0.0398311209429354
K53_LPS_FC1_4	0.0	0.0582357579441783	0.0142968474917253	0.0	0.843020975651008	0.0844464189130887
T120_LPS_FC5	0.0	0.0	0.017040818401727	0.0	0.966833620814655	0.0161255607836182
K7_GARD_BATCH_2	0.0	0.11450302776961	0.0	0.0	0.818523600430391	0.0669733717999984
K12_GARD_BATCH_2	0.0	0.0	0.0197639239222932	0.0	0.902908460340297	0.0773276157374096
T35_GARD_BATCH_2	0.0	0.0215302113661191	0.0025473841920645	0.0	0.909425992753208	0.0664964116886086
K50_CTL_FC1_4	0.0378185929423439	0.046569551246164	0.0015809831840282	0.0459339294255238	0.783048839316327	0.0850481038856134
